Parties,Operations,Time
2,500,8.587729930877686
2,100,5.8774285316467285
2,10,6.398059844970703
100,1000,363.3992462158203
100,500,183.20404696464539
100,100,53.90333414077759
100,10,28.57610321044922
20,1000,65.12822937965393
20,500,35.09620380401611
20,100,11.45126485824585
20,10,6.9141950607299805
10,1000,35.261775493621826
10,500,20.188186407089233
10,100,8.158234596252441
10,10,5.802306413650513
5,1000,20.09286141395569
5,500,11.391983985900879
5,100,7.689894437789917
5,10,5.392895698547363
2,1000,11.276474952697754
2,500,8.198351860046387
2,100,5.832850694656372
2,10,6.548005104064941
100,1000,277.3676908016205
100,500,150.75094532966614
100,100,50.23588991165161
100,10,25.14783763885498
20,1000,54.84065651893616
20,500,31.0335054397583
20,100,10.767854690551758
20,10,6.629975080490112
10,1000,30.27488088607788
10,500,17.689029216766357
10,100,7.944692850112915
10,10,5.800466060638428
5,1000,17.290520668029785
5,500,11.477555274963379
5,100,6.666566371917725
5,10,5.713341474533081
2,1000,11.011294841766357
